month_no,month,Year2016,Year2017,Year2018
01,Jan,0.0,37632.569999999985,969967.8000000026
02,Feb,0.0,222270.74999999962,853616.8200000001
03,Mar,0.0,376833.72000000096,1024851.949999999
04,Apr,0.0,299798.45000000007,1274742.17999999
05,May,0.0,579280.4300000027,1150528.9299999974
06,Jun,0.0,489463.420000003,1141543.8499999994
07,Jul,0.0,518115.1900000033,925958.7900000032
08,Aug,0.0,609180.3400000022,1319737.6599999934
09,Sep,0.0,652576.4800000003,12875.18
10,Oct,34116.27999999999,740570.3999999999,347.95
11,Nov,10734.640000000005,733047.3300000001,0.0
12,Dec,960.85,1082600.6899999967,0.0
